ListingInfo_Day,ListingInfo_Month,ListingInfo_Year,ListingInfo_DayofYear,ListingInfo_DayofMonth,ListingInfo_DayofWeek
332,9,2014,272,29,0
159,4,2014,99,9,2
319,9,2014,259,16,1
234,6,2014,174,23,0
119,2,2014,59,28,4
354,10,2014,294,21,1
179,4,2014,119,29,1
283,8,2014,223,11,0
255,7,2014,195,14,0
291,8,2014,231,19,1
331,9,2014,271,28,6
271,7,2014,211,30,2
180,4,2014,120,30,2
221,6,2014,161,10,1
348,10,2014,288,15,2
348,10,2014,288,15,2
285,8,2014,225,13,2
261,7,2014,201,20,6
333,9,2014,273,30,1
251,7,2014,191,10,3
252,7,2014,192,11,4
185,5,2014,125,5,0
76,1,2014,16,16,3
348,10,2014,288,15,2
203,5,2014,143,23,4
216,6,2014,156,5,3
285,8,2014,225,13,2
76,1,2014,16,16,3
136,3,2014,76,17,0
320,9,2014,260,17,2
306,9,2014,246,3,2
174,4,2014,114,24,3
314,9,2014,254,11,3
215,6,2014,155,4,2
360,10,2014,300,27,0
310,9,2014,250,7,6
355,10,2014,295,22,2
310,9,2014,250,7,6
297,8,2014,237,25,0
223,6,2014,163,12,3
332,9,2014,272,29,0
187,5,2014,127,7,2
334,10,2014,274,1,2
344,10,2014,284,11,5
264,7,2014,204,23,2
88,1,2014,28,28,1
336,10,2014,276,3,4
319,9,2014,259,16,1
236,6,2014,176,25,2
122,3,2014,62,3,0
272,7,2014,212,31,3
178,4,2014,118,28,0
362,10,2014,302,29,2
76,1,2014,16,16,3
75,1,2014,15,15,2
131,3,2014,71,12,2
303,8,2014,243,31,6
249,7,2014,189,8,1
235,6,2014,175,24,1
342,10,2014,282,9,3
367,11,2014,307,3,0
341,10,2014,281,8,2
167,4,2014,107,17,3
82,1,2014,22,22,2
275,8,2014,215,3,6
234,6,2014,174,23,0
332,9,2014,272,29,0
295,8,2014,235,23,5
244,7,2014,184,3,3
306,9,2014,246,3,2
359,10,2014,299,26,6
354,10,2014,294,21,1
217,6,2014,157,6,4
153,4,2014,93,3,3
257,7,2014,197,16,2
297,8,2014,237,25,0
142,3,2014,82,23,6
355,10,2014,295,22,2
301,8,2014,241,29,4
156,4,2014,96,6,6
350,10,2014,290,17,4
129,3,2014,69,10,0
140,3,2014,80,21,4
217,6,2014,157,6,4
331,9,2014,271,28,6
223,6,2014,163,12,3
286,8,2014,226,14,3
145,3,2014,85,26,2
195,5,2014,135,15,3
342,10,2014,282,9,3
153,4,2014,93,3,3
306,9,2014,246,3,2
291,8,2014,231,19,1
151,4,2014,91,1,1
322,9,2014,262,19,4
325,9,2014,265,22,0
178,4,2014,118,28,0
202,5,2014,142,22,3
362,10,2014,302,29,2
145,3,2014,85,26,2
334,10,2014,274,1,2
339,10,2014,279,6,0
274,8,2014,214,2,5
234,6,2014,174,23,0
291,8,2014,231,19,1
341,10,2014,281,8,2
319,9,2014,259,16,1
349,10,2014,289,16,3
301,8,2014,241,29,4
306,9,2014,246,3,2
76,1,2014,16,16,3
363,10,2014,303,30,3
285,8,2014,225,13,2
309,9,2014,249,6,5
214,6,2014,154,3,1
86,1,2014,26,26,6
200,5,2014,140,20,1
307,9,2014,247,4,3
180,4,2014,120,30,2
263,7,2014,203,22,1
322,9,2014,262,19,4
350,10,2014,290,17,4
234,6,2014,174,23,0
344,10,2014,284,11,5
319,9,2014,259,16,1
206,5,2014,146,26,0
170,4,2014,110,20,6
280,8,2014,220,8,4
251,7,2014,191,10,3
236,6,2014,176,25,2
335,10,2014,275,2,3
308,9,2014,248,5,4
296,8,2014,236,24,6
229,6,2014,169,18,2
144,3,2014,84,25,1
170,4,2014,110,20,6
301,8,2014,241,29,4
194,5,2014,134,14,2
312,9,2014,252,9,1
279,8,2014,219,7,3
338,10,2014,278,5,6
80,1,2014,20,20,0
206,5,2014,146,26,0
262,7,2014,202,21,0
289,8,2014,229,17,6
259,7,2014,199,18,4
252,7,2014,192,11,4
102,2,2014,42,11,1
241,6,2014,181,30,0
123,3,2014,63,4,1
289,8,2014,229,17,6
308,9,2014,248,5,4
281,8,2014,221,9,5
161,4,2014,101,11,4
312,9,2014,252,9,1
241,6,2014,181,30,0
343,10,2014,283,10,4
261,7,2014,201,20,6
359,10,2014,299,26,6
291,8,2014,231,19,1
357,10,2014,297,24,4
317,9,2014,257,14,6
340,10,2014,280,7,1
265,7,2014,205,24,3
270,7,2014,210,29,1
255,7,2014,195,14,0
311,9,2014,251,8,0
257,7,2014,197,16,2
188,5,2014,128,8,3
321,9,2014,261,18,3
264,7,2014,204,23,2
71,1,2014,11,11,5
263,7,2014,203,22,1
357,10,2014,297,24,4
132,3,2014,72,13,3
258,7,2014,198,17,3
291,8,2014,231,19,1
358,10,2014,298,25,5
241,6,2014,181,30,0
339,10,2014,279,6,0
112,2,2014,52,21,4
274,8,2014,214,2,5
328,9,2014,268,25,3
204,5,2014,144,24,5
359,10,2014,299,26,6
270,7,2014,210,29,1
214,6,2014,154,3,1
319,9,2014,259,16,1
293,8,2014,233,21,3
360,10,2014,300,27,0
310,9,2014,250,7,6
137,3,2014,77,18,1
214,6,2014,154,3,1
270,7,2014,210,29,1
227,6,2014,167,16,0
302,8,2014,242,30,5
346,10,2014,286,13,0
238,6,2014,178,27,4
267,7,2014,207,26,5
172,4,2014,112,22,1
216,6,2014,156,5,3
229,6,2014,169,18,2
192,5,2014,132,12,0
232,6,2014,172,21,5
203,5,2014,143,23,4
71,1,2014,11,11,5
355,10,2014,295,22,2
354,10,2014,294,21,1
309,9,2014,249,6,5
350,10,2014,290,17,4
263,7,2014,203,22,1
350,10,2014,290,17,4
266,7,2014,206,25,4
130,3,2014,70,11,1
292,8,2014,232,20,2
279,8,2014,219,7,3
165,4,2014,105,15,1
359,10,2014,299,26,6
216,6,2014,156,5,3
194,5,2014,134,14,2
207,5,2014,147,27,1
206,5,2014,146,26,0
290,8,2014,230,18,0
267,7,2014,207,26,5
295,8,2014,235,23,5
362,10,2014,302,29,2
235,6,2014,175,24,1
369,11,2014,309,5,2
344,10,2014,284,11,5
347,10,2014,287,14,1
165,4,2014,105,15,1
195,5,2014,135,15,3
245,7,2014,185,4,4
208,5,2014,148,28,2
208,5,2014,148,28,2
347,10,2014,287,14,1
256,7,2014,196,15,1
124,3,2014,64,5,2
230,6,2014,170,19,3
298,8,2014,238,26,1
228,6,2014,168,17,1
261,7,2014,201,20,6
339,10,2014,279,6,0
314,9,2014,254,11,3
296,8,2014,236,24,6
232,6,2014,172,21,5
265,7,2014,205,24,3
303,8,2014,243,31,6
355,10,2014,295,22,2
292,8,2014,232,20,2
263,7,2014,203,22,1
308,9,2014,248,5,4
256,7,2014,196,15,1
285,8,2014,225,13,2
208,5,2014,148,28,2
214,6,2014,154,3,1
314,9,2014,254,11,3
326,9,2014,266,23,1
291,8,2014,231,19,1
130,3,2014,70,11,1
249,7,2014,189,8,1
325,9,2014,265,22,0
142,3,2014,82,23,6
203,5,2014,143,23,4
333,9,2014,273,30,1
311,9,2014,251,8,0
218,6,2014,158,7,5
116,2,2014,56,25,1
359,10,2014,299,26,6
314,9,2014,254,11,3
145,3,2014,85,26,2
255,7,2014,195,14,0
281,8,2014,221,9,5
340,10,2014,280,7,1
291,8,2014,231,19,1
292,8,2014,232,20,2
348,10,2014,288,15,2
271,7,2014,211,30,2
312,9,2014,252,9,1
361,10,2014,301,28,1
193,5,2014,133,13,1
151,4,2014,91,1,1
287,8,2014,227,15,4
336,10,2014,276,3,4
359,10,2014,299,26,6
177,4,2014,117,27,6
248,7,2014,188,7,0
119,2,2014,59,28,4
346,10,2014,286,13,0
186,5,2014,126,6,1
189,5,2014,129,9,4
133,3,2014,73,14,4
308,9,2014,248,5,4
179,4,2014,119,29,1
335,10,2014,275,2,3
241,6,2014,181,30,0
242,7,2014,182,1,1
360,10,2014,300,27,0
208,5,2014,148,28,2
287,8,2014,227,15,4
243,7,2014,183,2,2
168,4,2014,108,18,4
255,7,2014,195,14,0
333,9,2014,273,30,1
263,7,2014,203,22,1
357,10,2014,297,24,4
195,5,2014,135,15,3
296,8,2014,236,24,6
137,3,2014,77,18,1
272,7,2014,212,31,3
297,8,2014,237,25,0
290,8,2014,230,18,0
221,6,2014,161,10,1
353,10,2014,293,20,0
233,6,2014,173,22,6
365,11,2014,305,1,5
311,9,2014,251,8,0
291,8,2014,231,19,1
310,9,2014,250,7,6
83,1,2014,23,23,3
167,4,2014,107,17,3
334,10,2014,274,1,2
179,4,2014,119,29,1
317,9,2014,257,14,6
296,8,2014,236,24,6
263,7,2014,203,22,1
304,9,2014,244,1,0
238,6,2014,178,27,4
326,9,2014,266,23,1
333,9,2014,273,30,1
329,9,2014,269,26,4
318,9,2014,258,15,0
277,8,2014,217,5,1
322,9,2014,262,19,4
208,5,2014,148,28,2
345,10,2014,285,12,6
216,6,2014,156,5,3
150,3,2014,90,31,0
307,9,2014,247,4,3
217,6,2014,157,6,4
290,8,2014,230,18,0
346,10,2014,286,13,0
227,6,2014,167,16,0
267,7,2014,207,26,5
268,7,2014,208,27,6
215,6,2014,155,4,2
252,7,2014,192,11,4
197,5,2014,137,17,5
249,7,2014,189,8,1
271,7,2014,211,30,2
164,4,2014,104,14,0
279,8,2014,219,7,3
126,3,2014,66,7,4
258,7,2014,198,17,3
353,10,2014,293,20,0
222,6,2014,162,11,2
131,3,2014,71,12,2
306,9,2014,246,3,2
361,10,2014,301,28,1
297,8,2014,237,25,0
283,8,2014,223,11,0
223,6,2014,163,12,3
125,3,2014,65,6,3
348,10,2014,288,15,2
245,7,2014,185,4,4
277,8,2014,217,5,1
104,2,2014,44,13,3
242,7,2014,182,1,1
301,8,2014,241,29,4
309,9,2014,249,6,5
364,10,2014,304,31,4
361,10,2014,301,28,1
291,8,2014,231,19,1
201,5,2014,141,21,2
139,3,2014,79,20,3
74,1,2014,14,14,1
175,4,2014,115,25,4
150,3,2014,90,31,0
236,6,2014,176,25,2
211,5,2014,151,31,5
318,9,2014,258,15,0
351,10,2014,291,18,5
171,4,2014,111,21,0
356,10,2014,296,23,3
262,7,2014,202,21,0
318,9,2014,258,15,0
353,10,2014,293,20,0
278,8,2014,218,6,2
363,10,2014,303,30,3
244,7,2014,184,3,3
292,8,2014,232,20,2
154,4,2014,94,4,4
329,9,2014,269,26,4
131,3,2014,71,12,2
267,7,2014,207,26,5
268,7,2014,208,27,6
310,9,2014,250,7,6
254,7,2014,194,13,6
67,1,2014,7,7,1
125,3,2014,65,6,3
312,9,2014,252,9,1
275,8,2014,215,3,6
325,9,2014,265,22,0
201,5,2014,141,21,2
87,1,2014,27,27,0
89,1,2014,29,29,2
255,7,2014,195,14,0
103,2,2014,43,12,2
315,9,2014,255,12,4
233,6,2014,173,22,6
233,6,2014,173,22,6
84,1,2014,24,24,4
294,8,2014,234,22,4
333,9,2014,273,30,1
179,4,2014,119,29,1
249,7,2014,189,8,1
126,3,2014,66,7,4
336,10,2014,276,3,4
263,7,2014,203,22,1
243,7,2014,183,2,2
321,9,2014,261,18,3
356,10,2014,296,23,3
341,10,2014,281,8,2
238,6,2014,178,27,4
362,10,2014,302,29,2
112,2,2014,52,21,4
366,11,2014,306,2,6
180,4,2014,120,30,2
344,10,2014,284,11,5
358,10,2014,298,25,5
300,8,2014,240,28,3
148,3,2014,88,29,5
322,9,2014,262,19,4
221,6,2014,161,10,1
319,9,2014,259,16,1
360,10,2014,300,27,0
347,10,2014,287,14,1
255,7,2014,195,14,0
328,9,2014,268,25,3
242,7,2014,182,1,1
350,10,2014,290,17,4
168,4,2014,108,18,4
171,4,2014,111,21,0
208,5,2014,148,28,2
343,10,2014,283,10,4
291,8,2014,231,19,1
207,5,2014,147,27,1
285,8,2014,225,13,2
355,10,2014,295,22,2
357,10,2014,297,24,4
117,2,2014,57,26,2
87,1,2014,27,27,0
333,9,2014,273,30,1
347,10,2014,287,14,1
87,1,2014,27,27,0
355,10,2014,295,22,2
287,8,2014,227,15,4
233,6,2014,173,22,6
166,4,2014,106,16,2
166,4,2014,106,16,2
123,3,2014,63,4,1
329,9,2014,269,26,4
76,1,2014,16,16,3
248,7,2014,188,7,0
240,6,2014,180,29,6
326,9,2014,266,23,1
207,5,2014,147,27,1
136,3,2014,76,17,0
236,6,2014,176,25,2
338,10,2014,278,5,6
350,10,2014,290,17,4
189,5,2014,129,9,4
103,2,2014,43,12,2
160,4,2014,100,10,3
237,6,2014,177,26,3
312,9,2014,252,9,1
239,6,2014,179,28,5
237,6,2014,177,26,3
313,9,2014,253,10,2
118,2,2014,58,27,3
203,5,2014,143,23,4
179,4,2014,119,29,1
340,10,2014,280,7,1
353,10,2014,293,20,0
322,9,2014,262,19,4
311,9,2014,251,8,0
283,8,2014,223,11,0
215,6,2014,155,4,2
179,4,2014,119,29,1
279,8,2014,219,7,3
254,7,2014,194,13,6
299,8,2014,239,27,2
208,5,2014,148,28,2
207,5,2014,147,27,1
297,8,2014,237,25,0
245,7,2014,185,4,4
259,7,2014,199,18,4
195,5,2014,135,15,3
189,5,2014,129,9,4
153,4,2014,93,3,3
319,9,2014,259,16,1
348,10,2014,288,15,2
342,10,2014,282,9,3
208,5,2014,148,28,2
223,6,2014,163,12,3
329,9,2014,269,26,4
146,3,2014,86,27,3
275,8,2014,215,3,6
290,8,2014,230,18,0
269,7,2014,209,28,0
171,4,2014,111,21,0
292,8,2014,232,20,2
245,7,2014,185,4,4
364,10,2014,304,31,4
294,8,2014,234,22,4
151,4,2014,91,1,1
276,8,2014,216,4,0
168,4,2014,108,18,4
169,4,2014,109,19,5
237,6,2014,177,26,3
328,9,2014,268,25,3
336,10,2014,276,3,4
124,3,2014,64,5,2
308,9,2014,248,5,4
80,1,2014,20,20,0
257,7,2014,197,16,2
330,9,2014,270,27,5
131,3,2014,71,12,2
242,7,2014,182,1,1
350,10,2014,290,17,4
179,4,2014,119,29,1
308,9,2014,248,5,4
179,4,2014,119,29,1
338,10,2014,278,5,6
292,8,2014,232,20,2
160,4,2014,100,10,3
210,5,2014,150,30,4
225,6,2014,165,14,5
105,2,2014,45,14,4
214,6,2014,154,3,1
340,10,2014,280,7,1
227,6,2014,167,16,0
210,5,2014,150,30,4
266,7,2014,206,25,4
230,6,2014,170,19,3
196,5,2014,136,16,4
248,7,2014,188,7,0
194,5,2014,134,14,2
343,10,2014,283,10,4
229,6,2014,169,18,2
255,7,2014,195,14,0
214,6,2014,154,3,1
263,7,2014,203,22,1
189,5,2014,129,9,4
343,10,2014,283,10,4
348,10,2014,288,15,2
229,6,2014,169,18,2
308,9,2014,248,5,4
126,3,2014,66,7,4
74,1,2014,14,14,1
310,9,2014,250,7,6
251,7,2014,191,10,3
286,8,2014,226,14,3
229,6,2014,169,18,2
202,5,2014,142,22,3
309,9,2014,249,6,5
263,7,2014,203,22,1
189,5,2014,129,9,4
362,10,2014,302,29,2
151,4,2014,91,1,1
133,3,2014,73,14,4
119,2,2014,59,28,4
154,4,2014,94,4,4
173,4,2014,113,23,2
160,4,2014,100,10,3
312,9,2014,252,9,1
305,9,2014,245,2,1
223,6,2014,163,12,3
357,10,2014,297,24,4
348,10,2014,288,15,2
291,8,2014,231,19,1
62,1,2014,2,2,3
206,5,2014,146,26,0
333,9,2014,273,30,1
319,9,2014,259,16,1
268,7,2014,208,27,6
328,9,2014,268,25,3
333,9,2014,273,30,1
323,9,2014,263,20,5
355,10,2014,295,22,2
110,2,2014,50,19,2
343,10,2014,283,10,4
339,10,2014,279,6,0
335,10,2014,275,2,3
327,9,2014,267,24,2
207,5,2014,147,27,1
301,8,2014,241,29,4
203,5,2014,143,23,4
67,1,2014,7,7,1
179,4,2014,119,29,1
293,8,2014,233,21,3
229,6,2014,169,18,2
74,1,2014,14,14,1
301,8,2014,241,29,4
313,9,2014,253,10,2
146,3,2014,86,27,3
297,8,2014,237,25,0
335,10,2014,275,2,3
290,8,2014,230,18,0
329,9,2014,269,26,4
245,7,2014,185,4,4
350,10,2014,290,17,4
256,7,2014,196,15,1
315,9,2014,255,12,4
180,4,2014,120,30,2
329,9,2014,269,26,4
149,3,2014,89,30,6
243,7,2014,183,2,2
128,3,2014,68,9,6
366,11,2014,306,2,6
232,6,2014,172,21,5
139,3,2014,79,20,3
346,10,2014,286,13,0
139,3,2014,79,20,3
146,3,2014,86,27,3
343,10,2014,283,10,4
325,9,2014,265,22,0
200,5,2014,140,20,1
243,7,2014,183,2,2
271,7,2014,211,30,2
161,4,2014,101,11,4
279,8,2014,219,7,3
161,4,2014,101,11,4
217,6,2014,157,6,4
266,7,2014,206,25,4
313,9,2014,253,10,2
215,6,2014,155,4,2
108,2,2014,48,17,0
327,9,2014,267,24,2
164,4,2014,104,14,0
164,4,2014,104,14,0
227,6,2014,167,16,0
148,3,2014,88,29,5
231,6,2014,171,20,4
340,10,2014,280,7,1
346,10,2014,286,13,0
310,9,2014,250,7,6
137,3,2014,77,18,1
88,1,2014,28,28,1
268,7,2014,208,27,6
361,10,2014,301,28,1
165,4,2014,105,15,1
221,6,2014,161,10,1
303,8,2014,243,31,6
285,8,2014,225,13,2
279,8,2014,219,7,3
271,7,2014,211,30,2
270,7,2014,210,29,1
293,8,2014,233,21,3
346,10,2014,286,13,0
326,9,2014,266,23,1
208,5,2014,148,28,2
227,6,2014,167,16,0
267,7,2014,207,26,5
362,10,2014,302,29,2
317,9,2014,257,14,6
354,10,2014,294,21,1
75,1,2014,15,15,2
321,9,2014,261,18,3
87,1,2014,27,27,0
180,4,2014,120,30,2
346,10,2014,286,13,0
339,10,2014,279,6,0
281,8,2014,221,9,5
266,7,2014,206,25,4
347,10,2014,287,14,1
366,11,2014,306,2,6
171,4,2014,111,21,0
348,10,2014,288,15,2
271,7,2014,211,30,2
265,7,2014,205,24,3
309,9,2014,249,6,5
208,5,2014,148,28,2
293,8,2014,233,21,3
310,9,2014,250,7,6
111,2,2014,51,20,3
331,9,2014,271,28,6
349,10,2014,289,16,3
81,1,2014,21,21,1
202,5,2014,142,22,3
294,8,2014,234,22,4
320,9,2014,260,17,2
356,10,2014,296,23,3
361,10,2014,301,28,1
313,9,2014,253,10,2
308,9,2014,248,5,4
152,4,2014,92,2,2
172,4,2014,112,22,1
223,6,2014,163,12,3
298,8,2014,238,26,1
342,10,2014,282,9,3
286,8,2014,226,14,3
353,10,2014,293,20,0
344,10,2014,284,11,5
340,10,2014,280,7,1
311,9,2014,251,8,0
312,9,2014,252,9,1
207,5,2014,147,27,1
334,10,2014,274,1,2
326,9,2014,266,23,1
231,6,2014,171,20,4
347,10,2014,287,14,1
144,3,2014,84,25,1
195,5,2014,135,15,3
281,8,2014,221,9,5
315,9,2014,255,12,4
126,3,2014,66,7,4
349,10,2014,289,16,3
124,3,2014,64,5,2
244,7,2014,184,3,3
318,9,2014,258,15,0
338,10,2014,278,5,6
287,8,2014,227,15,4
113,2,2014,53,22,5
178,4,2014,118,28,0
108,2,2014,48,17,0
277,8,2014,217,5,1
172,4,2014,112,22,1
294,8,2014,234,22,4
194,5,2014,134,14,2
355,10,2014,295,22,2
179,4,2014,119,29,1
361,10,2014,301,28,1
229,6,2014,169,18,2
291,8,2014,231,19,1
292,8,2014,232,20,2
319,9,2014,259,16,1
361,10,2014,301,28,1
150,3,2014,90,31,0
146,3,2014,86,27,3
112,2,2014,52,21,4
259,7,2014,199,18,4
318,9,2014,258,15,0
347,10,2014,287,14,1
192,5,2014,132,12,0
224,6,2014,164,13,4
342,10,2014,282,9,3
220,6,2014,160,9,0
221,6,2014,161,10,1
314,9,2014,254,11,3
203,5,2014,143,23,4
195,5,2014,135,15,3
368,11,2014,308,4,1
262,7,2014,202,21,0
331,9,2014,271,28,6
224,6,2014,164,13,4
139,3,2014,79,20,3
340,10,2014,280,7,1
363,10,2014,303,30,3
248,7,2014,188,7,0
290,8,2014,230,18,0
284,8,2014,224,12,1
346,10,2014,286,13,0
348,10,2014,288,15,2
311,9,2014,251,8,0
312,9,2014,252,9,1
70,1,2014,10,10,4
82,1,2014,22,22,2
136,3,2014,76,17,0
333,9,2014,273,30,1
317,9,2014,257,14,6
174,4,2014,114,24,3
208,5,2014,148,28,2
189,5,2014,129,9,4
245,7,2014,185,4,4
329,9,2014,269,26,4
330,9,2014,270,27,5
235,6,2014,175,24,1
206,5,2014,146,26,0
144,3,2014,84,25,1
252,7,2014,192,11,4
271,7,2014,211,30,2
185,5,2014,125,5,0
180,4,2014,120,30,2
305,9,2014,245,2,1
229,6,2014,169,18,2
315,9,2014,255,12,4
343,10,2014,283,10,4
242,7,2014,182,1,1
172,4,2014,112,22,1
287,8,2014,227,15,4
281,8,2014,221,9,5
179,4,2014,119,29,1
117,2,2014,57,26,2
110,2,2014,50,19,2
278,8,2014,218,6,2
348,10,2014,288,15,2
252,7,2014,192,11,4
296,8,2014,236,24,6
309,9,2014,249,6,5
161,4,2014,101,11,4
280,8,2014,220,8,4
342,10,2014,282,9,3
170,4,2014,110,20,6
224,6,2014,164,13,4
311,9,2014,251,8,0
203,5,2014,143,23,4
308,9,2014,248,5,4
347,10,2014,287,14,1
357,10,2014,297,24,4
362,10,2014,302,29,2
70,1,2014,10,10,4
333,9,2014,273,30,1
271,7,2014,211,30,2
98,2,2014,38,7,4
254,7,2014,194,13,6
86,1,2014,26,26,6
192,5,2014,132,12,0
103,2,2014,43,12,2
368,11,2014,308,4,1
202,5,2014,142,22,3
348,10,2014,288,15,2
206,5,2014,146,26,0
311,9,2014,251,8,0
284,8,2014,224,12,1
306,9,2014,246,3,2
278,8,2014,218,6,2
312,9,2014,252,9,1
266,7,2014,206,25,4
136,3,2014,76,17,0
326,9,2014,266,23,1
225,6,2014,165,14,5
353,10,2014,293,20,0
346,10,2014,286,13,0
280,8,2014,220,8,4
273,8,2014,213,1,4
229,6,2014,169,18,2
173,4,2014,113,23,2
301,8,2014,241,29,4
319,9,2014,259,16,1
296,8,2014,236,24,6
274,8,2014,214,2,5
359,10,2014,299,26,6
173,4,2014,113,23,2
108,2,2014,48,17,0
357,10,2014,297,24,4
321,9,2014,261,18,3
260,7,2014,200,19,5
313,9,2014,253,10,2
231,6,2014,171,20,4
337,10,2014,277,4,5
262,7,2014,202,21,0
284,8,2014,224,12,1
211,5,2014,151,31,5
127,3,2014,67,8,5
312,9,2014,252,9,1
263,7,2014,203,22,1
361,10,2014,301,28,1
343,10,2014,283,10,4
355,10,2014,295,22,2
356,10,2014,296,23,3
290,8,2014,230,18,0
202,5,2014,142,22,3
166,4,2014,106,16,2
230,6,2014,170,19,3
355,10,2014,295,22,2
350,10,2014,290,17,4
206,5,2014,146,26,0
360,10,2014,300,27,0
357,10,2014,297,24,4
280,8,2014,220,8,4
167,4,2014,107,17,3
356,10,2014,296,23,3
210,5,2014,150,30,4
362,10,2014,302,29,2
170,4,2014,110,20,6
77,1,2014,17,17,4
256,7,2014,196,15,1
165,4,2014,105,15,1
202,5,2014,142,22,3
234,6,2014,174,23,0
186,5,2014,126,6,1
332,9,2014,272,29,0
149,3,2014,89,30,6
299,8,2014,239,27,2
117,2,2014,57,26,2
202,5,2014,142,22,3
160,4,2014,100,10,3
347,10,2014,287,14,1
315,9,2014,255,12,4
267,7,2014,207,26,5
282,8,2014,222,10,6
257,7,2014,197,16,2
301,8,2014,241,29,4
333,9,2014,273,30,1
112,2,2014,52,21,4
206,5,2014,146,26,0
190,5,2014,130,10,5
206,5,2014,146,26,0
231,6,2014,171,20,4
318,9,2014,258,15,0
217,6,2014,157,6,4
179,4,2014,119,29,1
189,5,2014,129,9,4
299,8,2014,239,27,2
284,8,2014,224,12,1
323,9,2014,263,20,5
342,10,2014,282,9,3
323,9,2014,263,20,5
192,5,2014,132,12,0
241,6,2014,181,30,0
330,9,2014,270,27,5
101,2,2014,41,10,0
167,4,2014,107,17,3
350,10,2014,290,17,4
356,10,2014,296,23,3
75,1,2014,15,15,2
240,6,2014,180,29,6
273,8,2014,213,1,4
350,10,2014,290,17,4
131,3,2014,71,12,2
280,8,2014,220,8,4
291,8,2014,231,19,1
344,10,2014,284,11,5
211,5,2014,151,31,5
165,4,2014,105,15,1
308,9,2014,248,5,4
153,4,2014,93,3,3
287,8,2014,227,15,4
322,9,2014,262,19,4
224,6,2014,164,13,4
266,7,2014,206,25,4
301,8,2014,241,29,4
253,7,2014,193,12,5
277,8,2014,217,5,1
369,11,2014,309,5,2
231,6,2014,171,20,4
305,9,2014,245,2,1
272,7,2014,212,31,3
229,6,2014,169,18,2
319,9,2014,259,16,1
188,5,2014,128,8,3
343,10,2014,283,10,4
77,1,2014,17,17,4
221,6,2014,161,10,1
230,6,2014,170,19,3
116,2,2014,56,25,1
131,3,2014,71,12,2
207,5,2014,147,27,1
308,9,2014,248,5,4
75,1,2014,15,15,2
